Year,Age,height,weight,G,PTS,3P,2P,FT,3P%,2P%,FT%,eFG%,PF,MP
1950.0,26.131410256410255,191.92628205128204,86.88461538461539,42.88461538461539,331.9294871794872,,116.78205128205128,98.36538461538461,,0.31810897435897434,0.6836850649350653,0.31810897435897434,114.99038461538461,
1951.0,26.344827586206897,193.22413793103448,88.06896551724138,43.89080459770115,375.5057471264368,,133.41954022988506,108.66666666666667,,0.3327413793103447,0.7010231213872832,0.3327413793103447,123.49425287356321,
1952.0,26.130769230769232,193.2923076923077,88.29230769230769,49.41538461538462,446.89230769230767,,157.8923076923077,131.1076923076923,,0.3444999999999999,0.6919769230769232,0.3444999999999999,144.52307692307693,1294.7923076923078
1953.0,26.0188679245283,192.45,88.0125,45.725,402.225,,138.6375,124.95,,0.33677499999999977,0.7018113207547171,0.33677499999999977,142.21875,1201.58125
1954.0,25.76923076923077,194.2290076335878,88.9618320610687,49.86259541984733,421.7709923664122,,148.77862595419847,124.21374045801527,,0.34349230769230765,0.678472440944882,0.34349230769230765,136.01526717557252,1278.4580152671756
1955.0,25.953703703703702,194.14678899082568,88.55963302752293,51.091743119266056,506.908256880734,,181.24770642201835,144.41284403669724,,0.34676146788990825,0.6991603773584905,0.34676146788990825,135.77064220183487,1322.1559633027523
1956.0,25.813725490196077,195.66037735849056,90.0,56.405660377358494,563.8490566037735,,201.95283018867926,159.9433962264151,,0.36713207547169807,0.728754716981132,0.36713207547169807,152.37735849056602,1400.198113207547
1957.0,26.0188679245283,195.6448598130841,90.37383177570094,54.18691588785047,557.5140186915888,,201.45794392523365,154.5981308411215,,0.35823364485981285,0.7206285714285718,0.35823364485981285,140.73831775700936,1358.2897196261683
1958.0,26.126126126126128,196.34234234234233,90.8018018018018,52.333333333333336,568.4054054054054,,208.16216216216216,152.0810810810811,,0.352108108108108,0.7118981481481481,0.352108108108108,138.07207207207207,1290.900900900901
1959.0,25.98181818181818,195.1818181818182,90.42727272727272,55.31818181818182,609.3727272727273,,227.44545454545454,154.48181818181817,,0.38981818181818195,0.7301401869158881,0.38981818181818195,146.1909090909091,1370.5272727272727
1960.0,26.05128205128205,196.1196581196581,91.1025641025641,53.26495726495727,627.5811965811965,,242.4188034188034,142.74358974358975,,0.38375213675213693,0.6917192982456137,0.38375213675213693,142.3846153846154,1324.7435897435898
1961.0,26.096153846153847,196.81730769230768,91.67307692307692,60.02884615384615,734.0961538461538,,282.125,169.84615384615384,,0.3864134615384615,0.6988349514563106,0.3864134615384615,168.35576923076923,1507.673076923077
1962.0,25.6,195.672,90.808,57.72,709.216,,274.704,159.808,,0.394296,0.6890983606557376,0.394296,156.256,1450.384
1963.0,25.909774436090224,196.98496240601503,91.78195488721805,55.721804511278194,655.1428571428571,,254.24812030075188,146.64661654135338,,0.4166015037593985,0.6773939393939388,0.4166015037593985,149.87218045112783,1386.4285714285713
1964.0,25.94814814814815,196.74074074074073,91.97777777777777,55.733333333333334,646.3111111111111,,249.42222222222222,147.46666666666667,,0.40960740740740736,0.6836870229007639,0.40960740740740736,156.15555555555557,1407.8444444444444
1965.0,25.696969696969695,197.4848484848485,93.5,55.78030303030303,642.4621212121212,,247.1969696969697,148.0681818181818,,0.40066666666666667,0.7067286821705427,0.40066666666666667,148.75757575757575,1391.3030303030303
1966.0,26.118518518518517,196.8074074074074,92.85925925925926,56.629629629629626,676.9111111111112,,260.0148148148148,156.88148148148147,,0.4099481481481482,0.6900381679389309,0.4099481481481482,153.94814814814814,1413.911111111111
1967.0,25.849624060150376,198.09774436090225,93.8796992481203,61.03007518796993,735.4586466165414,,284.7593984962406,165.93984962406014,,0.4195187969924811,0.7030526315789474,0.4195187969924811,165.62406015037595,1513.8872180451128
1968.0,26.0,197.3728813559322,93.36158192090396,58.36158192090395,698.2485875706215,,269.0282485875706,160.19209039548022,,0.41974011299435043,0.6928959537572256,0.41974011299435043,159.090395480226,1453.1242937853108
1969.0,26.097087378640776,198.4126213592233,94.31067961165049,57.922330097087375,692.7815533980582,,269.18932038834953,154.40291262135923,,0.41654854368932037,0.6754068627450981,0.41654854368932037,159.2621359223301,1495.8592233009708
1970.0,26.442786069651742,197.726368159204,92.8955223880597,59.14427860696517,712.7363184079602,,278.92537313432837,154.8855721393035,,0.4454825870646765,0.7348730964467007,0.4454825870646765,155.3582089552239,1488.9004975124378
1971.0,26.13061224489796,198.03673469387755,93.2326530612245,58.06938775510204,659.0081632653062,,258.14285714285717,142.72244897959183,,0.42211475409836097,0.7105458333333333,0.42211475409836097,145.39183673469387,1426.8530612244897
1972.0,26.22641509433962,197.9132075471698,92.75471698113208,55.864150943396226,634.5433962264151,,249.7811320754717,134.9811320754717,,0.4244431818181818,0.709393939393939,0.4244431818181818,138.55849056603773,1400.4905660377358
1973.0,26.312267657992564,198.4200743494424,93.34200743494424,55.82156133828996,604.6691449814126,,248.33085501858736,108.00743494423791,,0.424632958801498,0.7268996138996138,0.424632958801498,132.76951672862452,1369.9293680297399
1974.0,26.35918367346939,198.12244897959184,92.22857142857143,57.53469387755102,624.5877551020408,,254.60408163265305,115.37959183673469,,0.4394262295081967,0.7265882352941175,0.4394262295081967,142.0857142857143,1434.3877551020407
1975.0,26.5,198.30072463768116,92.02536231884058,57.23913043478261,588.8913043478261,,238.85507246376812,111.18115942028986,,0.4370400000000001,0.7345185185185188,0.4370400000000001,141.5072463768116,1393.7173913043478
1976.0,26.375912408759124,198.63138686131387,92.45985401459853,57.79197080291971,588.492700729927,,237.12408759124088,114.24452554744525,,0.43589051094890524,0.7261380597014923,0.43589051094890524,142.07299270072994,1373.6313868613138
1977.0,25.915966386554622,198.2408963585434,91.68347338935574,56.299719887955185,585.750700280112,,235.29131652661064,115.16806722689076,,0.4395196629213479,0.7309176136363635,0.4395196629213479,139.41456582633054,1327.5574229691877
1978.0,25.949197860962567,198.28877005347593,91.6283422459893,54.24331550802139,587.9973262032086,,235.81550802139037,116.3663101604278,,0.43956032171581766,0.7309889196675898,0.43956032171581766,137.86898395721926,1312.0828877005347
1979.0,25.822674418604652,198.70639534883722,91.67151162790698,57.252906976744185,628.078488372093,,253.61337209302326,120.85174418604652,,0.4607631578947367,0.737086826347305,0.4607631578947367,144.24709302325581,1373.860465116279
1980.0,26.204481792717086,198.9467787114846,92.19047619047619,55.42857142857143,612.4257703081232,4.372549019607843,240.20448179271708,118.89915966386555,0.19800000000000006,0.46273033707865147,0.7401327683615819,0.46137640449438133,137.29971988795518,1358.0168067226891
1981.0,25.840220385674932,198.91184573002755,91.68044077134986,55.44077134986226,592.9779614325068,2.8512396694214877,233.0055096418733,118.41322314049587,0.15306934306569348,0.45755096418732777,0.7224971264367811,0.4553636363636364,138.94214876033058,1334.3526170798898
1982.0,25.991957104557642,199.50134048257374,92.2520107238606,56.24932975871314,591.8739946380697,3.233243967828418,233.23324396782843,115.70777479892762,0.17110616438356166,0.4758927613941018,0.7106829268292684,0.47320911528150134,143.71849865951742,1315.7399463806971
